FIXED,Date,Tab,Notes on bug,,,,,Fix needed,,,,,,Questions,,Notes on bug fix
FALSE,3/23/2026,goal,decisions goal tab prgoress checker does not get affected by the goal,,,,,number for tracker needs to match goal set by user,,,,,,,,
FALSE,,journal,"when you set goal, it needs to be ""Monthly Goal""",,,,,change goal to say Monthly Goal,,,,,,,,
FALSE,,,one time gifts in journals need to be divided by 12 before filling up the progress bar ON journals,,,,,divide one time gifts by 12,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,Duplicate checking?,,,,,,,,,,,,,
FALSE,,,Merging if duplicate?,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,